3251|Minecraft|13|23.95|3251.jpg|Minecraft est un jeu vidéo de type « bac à sable » (construction complètement libre - sandbox en anglais) développé par le Suédois Markus Persson, alias Notch, puis par le studio de développement Mojang. Ce jeu vidéo plonge le joueur dans un univers généré aléatoirement et composé de voxels. Le jeu intègre un système d'artisanat axé sur l'exploitation de ressources naturelles (minéralogiques, fossiles, animales et végétales), puis sur leur transformation en produits artisanaux.
2419|Batman: Arkham Knight|5|19.99|2419.jpg|Batman™: Arkham Knight marque le dénouement épique de la trilogie primée Arkham, créée par les studios Rocksteady. Développé exclusivement pour les consoles nouvelle génération, Batman: Arkham Knight introduit une version unique de la Batmobile, créée par Rocksteady. Ce véhicule légendaire, associé au gameplay plébiscité de la série Batman Arkham, offre aux joueurs l'expérience de jeu Batman la plus complète. Roulez à toute allure dans les rues de Gotham City et élancez-vous au-dessus des toits. Dans ce final explosif, Batman affronte la menace ultime dans la ville qu’il s’est juré de protéger. L'Épouvantail est de retour pour réunir les super-vilains de Gotham et détruire Batman une bonne fois pour toutes.

2648|Assassin's Creed Odyssey|5|59.99|2648.jpg|Forgez votre destin dans Assassin's Creed Odyssey. Passez de paria à légende vivante lors d'une odyssée durant laquelle vous découvrirez votre passé et changerez le destin de la Grèce.

400|Assassin's Creed: Unity|5|29.99|400.jpg|Assassin's Creed® Unity est un jeu d'action-aventure en monde ouvert qui se déroule à Paris pendant la Révolution Française. Vous pourrez maintenant personnaliser votre héros, Arno, en choisissant son équipement. Cela aura un impact sur l'aspect visuel, mais aussi sur le gameplay. En plus de la campagne solo, Assassin's Creed Unity permet de jouer à 4 dans des missions additionnelles scénarisées. Assistez aux moments clés de l'Histoire de France, dans le monde ouvert le plus crédible et vivant jamais créé.

146|The Elder Scrolls V: Skyrim|12|14.99|146.jpg|Le nouveau chapitre très attendu de la saga Elder Scrolls nous arrive des créateurs du jeu de l'année 2006 et 2008, Bethesda Game Studios. Skyrim réinvente et révolutionne le monde ouvert, ramenant à la vie un monde complet que vous pourrez librement explorer.

865|Doom|5|19.99|865.jpg|Développé par id Software, le pionnier des jeux de tir à la première personne et du mode match à mort multijoueur, DOOM revient sous une forme moderne qui conserve sa difficulté et sa brutalité. Que vous décidiez d'éradiquer des hordes de démons sorties tout droit de l'Enfer dans la campagne du jeu ou que vous combattiez vos amis dans l'un des multiples modes multijoueur, le programme est le même : des démons sans pitié, des armes d'une puissance inouïe et des mouvements rapides et fluides qui sont les fondations de ce jeu de tir intense à la première personne.. Prolongez votre expérience de jeu en utilisant l'éditeur DOOM SnapMap pour créer, jouer et partager facilement du contenu avec le monde entier.

1230|Rust|6|31.99|1230.jpg|Rust est un survival-horror en monde ouvert. Le joueur doit y survivre en serveur dans un monde post-apocalyptique particulièrement hostile, tout en gérant la faim, la soif et le froid, et en faisant attention aux monstres et aux autres joueurs ayant parfois de mauvaises intentions. Créez des alliances avec d'autres joueurs et formez une forteresse afin de tenter de survivre le plus longtemps dans un monde hostile. Et n’oubliez pas que la nourriture demeure une ressource des plus rares.

152|Tomb Raider|6|19.99|152.jpg|Tomb Raider est un jeu d'action-aventure sur PC. On y incarne la jeune Lara, âgée de 21 ans, qui va devoir survivre sur une île à la suite d'un naufrage. Pour ce faire, elle devra se nourrir, chasser mais aussi faire attention aux menaces qui planent sur elle.

1003|Subnautica|6|20.99|1003.jpg|Subnautica est un jeu de monde ouvert, d’exploration sous-marine et d’aventure, actuellement en construction à Unknown Worlds, le développeur indépendant derrière Natural Selection 2.

485|Rise of the Tomb Raider|6|49.99|485.jpg|Après la découverte d'un mystère ancestral, Lara va devoir explorer les recoins les plus traîtres et isolés de la Sibérie afin de mettre la main sur le secret de l'immortalité avant une organisation sans merci : les trinitaires. Au cours de son périple, Lara va devoir faire preuve de ruse et tirer parti de ses compétences de survie, former de nouvelles alliances et faire face à son destin d'aventurière. Plongez au cœur de l'action, partez à la conquête d'environnements hostiles d'une beauté à couper le souffle, maîtrisez l'art de la guérilla et explorez des tombes mortelles dans cet opus marquant une nouvelle étape dans l'évolution du jeu de survie et d'action. « Rise of the Tomb Raider » voit Lara devenir bien plus qu'une simple survivante et rentrer dans la légende en tant que Tomb Raider

186|Grand Theft Auto V|5|29.99|186.jpg|Grand Theft Auto V pour PC exploitera pleinement les capacités des PC pour intégrer de nombreuses améliorations : résolution supérieure, graphismes plus détaillés, trafic plus dense, profondeur de champ accrue, IA améliorée, nouveaux animaux, effets climatiques et animations de dégâts avancées pour une expérience de jeu vraiment exceptionnelle.

2468|Call of Duty: Black Ops 4|1|59.99|2468.jpg|Call of Duty: Black Ops 4 offre l’expérience multijoueur la plus riche et tactique de l’histoire de Black Ops, le mode Zombies le plus ambitieux avec trois aventures complètes disponibles au lancement et un tout nouveau mode Battle Royale réunissant les personnages, les environnements, les armes et les équipements les plus emblématiques de la série Black Ops dans une expérience unique mêlant affrontements et survie.

1611|Human: Fall Flat|7|14.99|1611.jpg|Bob n'est qu'un humain ordinaire sans le moindre super-pouvoir, mais dotez-le des bons outils et il sera capable de grandes choses. Détournez les outils pour donner à Bob encore plus de possibilités !

1778|To the Moon|7|7.99|1778.jpg|Les Docteurs Rosalene et Watts ont un travail étrange : ils offrent aux gens une seconde vie, depuis le début... mais seulement dans l'esprit de leurs patients.

494|Life is Strange|6|19.99|494.jpg|Life Is Strange est un jeu en 5 épisodes qui va révolutionner le concept des jeux narratifs à choix/conséquences, en permettant au joueur/à la joueuse de remonter dans le temps afin d’influencer le passé, le présent et l’avenir.

129|Undertale|7|9.99|129.jpeg|Undertale est un jeu vidéo de rôle indépendant développé par Toby Fox. Le jeu propose de contrôler un enfant tombé dans l'Underground (« souterrain »), une grande région isolée sous la surface de la Terre, séparée de la surface par une barrière magique et peuplée de monstres. Le joueur interagit à plusieurs reprises avec ces monstres dans sa quête pour remonter à la surface, principalement via un système de combat mêlant tour-par-tour et shoot 'em up. Dans celui-ci, le joueur doit éviter des projectiles envoyés par les monstres rencontrés, et a ensuite la possibilité d'attaquer son adversaire pour le tuer, ou de l'épargner. Le choix de tuer ou épargner affecte le jeu, altérant les dialogues, les personnages, et la narration dépendant des choix effectués.

322|Bioshock|5|19.99|322.jpg|BioShock n'est pas un jeu de tir comme les autres : ses armes et ses stratégies sont originales. Vous aurez un arsenal complet à votre disposition du simple revolver au lance-grenade. Vous aurez également la possibilité de modifier votre ADN pour une meilleure "efficacité". Vous pourrez ainsi vous injecter des plasmids pour acquérir des pouvoirs surhumains comme par exemple électrocuter ou congeler vos ennemis pour pouvoir les pulvériser à coup de clef à molette.
Les rencontres sont aléatoires : deux joueurs différents ne pourront ainsi jamais vivre la même aventure.

323|Bioshock 2|5|19.99|323.jpg|L'action se déroule une dizaine d'année après les évènements du titre original, les couloirs de Rapture bruissent de nouveau du tintement de l'horreur du passé. Le long de a côte atlantique un monstre kidnappe les petites filles et les emporte sous la mer dans la cité engloutie. Les joueurs prendront le rôle des Big Daddy et parcourront la cité à la recherche d'une réponse.

1566|Abzu|6|19.99|1566.jpg|Le génie responsable de la création de Journey® présente ABZÛ, une magnifique aventure sous-marine qui évoque le rêve de la plongée. Plongez dans un monde caché vivant débordant de couleurs au fil de votre descente au cœur de l’océan. Découvrez des centaines d’espèces uniques et formez un lien avec la vie marine environnante. Mais soyez prudent, car de nombreux dangers rôdent dans les profondeurs.

2627|Raft|7|19.99|2627.jpg|Seul ou entre amis, votre mission est de survivre à une épopée océanique à travers une mer périlleuse! Ramassez les débris pour survivre, élargissez votre radeau et méfiez-vous des dangers de l'océan!

48|Celeste|7|19.99|48.jpg|Celeste est un jeu vidéo de plates-formes développé et édité par le studio Matt Makes Games, composé de Matt Thorson et Noel Berry. Le prototype de jeu est développé en quatre jours sur la machine virtuelle Pico-8 à l'occasion d'une game jam, avant de connaître le développement de la version finale.

id|NameJeu|Cat|PRIX|imageJPG|Desc

id|NameJeu|Cat|PRIX|imageJPG|Desc

id|NameJeu|Cat|PRIX|imageJPG|Desc

id|NameJeu|Cat|PRIX|imageJPG|Desc

id|NameJeu|Cat|PRIX|imageJPG|Desc

id|NameJeu|Cat|PRIX|imageJPG|Desc

id|NameJeu|Cat|PRIX|imageJPG|Desc

id|NameJeu|Cat|PRIX|imageJPG|Desc

id|NameJeu|Cat|PRIX|imageJPG|Desc

id|NameJeu|Cat|PRIX|imageJPG|Desc

id|NameJeu|Cat|PRIX|imageJPG|Desc

id|NameJeu|Cat|PRIX|imageJPG|Desc

id|NameJeu|Cat|PRIX|imageJPG|Desc

id|NameJeu|Cat|PRIX|imageJPG|Desc

id|NameJeu|Cat|PRIX|imageJPG|Desc

id|NameJeu|Cat|PRIX|imageJPG|Desc

id|NameJeu|Cat|PRIX|imageJPG|Desc
